"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"17652",4041521,41171,"will"," will"," MD",1,0
"17653",4041692,41171,"will"," will"," MD",1,0
"17654",4042673,41174,"will"," will"," MD",1,0
"17655",4042759,41174,"will"," will"," MD",1,0
"17656",4042796,41174,"will"," will"," MD",1,0
"17657",4043085,41176,"will"," will"," MD",1,0
"17658",4043566,41176,"will"," will"," MD",1,0
"17659",4044504,41194,"going"," go"," VBG",0,1
"17660",4044546,41194,"will"," will"," MD",1,0
"17661",4044669,41195,"will"," will"," MD",1,0
"17662",4044692,41196,"will"," will"," MD",1,0
"17663",4044752,41196,"will"," will"," MD",1,0
"17664",4044761,41196,"will"," will"," MD",1,0
"17665",4044794,41196,"will"," will"," MD",1,0
"17666",4044933,41197,"""ll"""," will"," MD",1,0
"17667",4045094,41198,"""ll"""," will"," MD",1,0
"17668",4045143,41198,"""ll"""," will"," MD",1,0
"17669",4045148,41198,"will"," will"," MD",1,0
"17670",4045170,41199,"will"," will"," MD",1,0
"17671",4045508,41202,"will"," will"," MD",1,0
"17672",4045579,41202,"will"," will"," MD",1,0
"17673",4046308,41207,"will"," will"," MD",1,0
"17674",4046504,41208,"will"," will"," MD",1,0
"17675",4047117,41210,"will"," will"," MD",1,0
"17676",4047530,41213,"will"," will"," MD",1,0
"17677",4047543,41213,"will"," will"," MD",1,0
"17678",4047651,41213,"will"," will"," MD",1,0
"17679",4047699,41213,"will"," will"," MD",1,0
"17680",4047966,41214,"will"," will"," MD",1,0
"17681",4048023,41214,"will"," will"," MD",1,0
"17682",4048248,41215,"will"," will"," MD",1,0
"17683",4048318,41215,"will"," will"," MD",1,0
"17684",4048329,41215,"will"," will"," MD",1,0
"17685",4048435,41216,"will"," will"," MD",1,0
"17686",4048456,41216,"going"," go"," VBG",0,1
"17687",4048483,41217,"will"," will"," MD",1,0
"17688",4048493,41217,"will"," will"," MD",1,0
"17689",4048620,41217,"will"," will"," MD",1,0
"17690",4048628,41217,"will"," will"," MD",1,0
"17691",4048777,41217,"will"," will"," MD",1,0
"17692",4048790,41217,"will"," will"," MD",1,0
"17693",4048814,41217,"will"," will"," MD",1,0
"17694",4048823,41217,"will"," will"," MD",1,0
"17695",4049141,41218,"will"," will"," MD",1,0
"17696",4049882,41220,"will"," will"," MD",1,0
"17697",4049973,41220,"will"," will"," MD",1,0
"17698",4050055,41221,"will"," will"," MD",1,0
"17699",4050074,41221,"will"," will"," MD",1,0
"17700",4050098,41221,"will"," will"," MD",1,0
"17701",4050118,41221,"will"," will"," MD",1,0
"17702",4050132,41221,"will"," will"," MD",1,0
"17703",4050145,41221,"will"," will"," MD",1,0
"17704",4050153,41221,"will"," will"," MD",1,0
"17705",4050163,41221,"will"," will"," MD",1,0
"17706",4050177,41221,"will"," will"," MD",1,0
"17707",4050194,41221,"will"," will"," MD",1,0
"17708",4050199,41221,"will"," will"," MD",1,0
"17709",4050210,41221,"will"," will"," MD",1,0
"17710",4050242,41221,"will"," will"," MD",1,0
"17711",4050282,41221,"will"," will"," MD",1,0
"17712",4050295,41221,"will"," will"," MD",1,0
